City,State,code,population
Radcliff city,Kentucky,KY,"22,706"
Greenwood city,South Carolina,SC,"22,667"
Christiansburg town,Virginia,VA,"22,632"
Corcoran city,California,CA,"22,627"
Acworth city,Georgia,GA,"22,624"
Bloomingdale village,Illinois,IL,"22,622"
Watertown city,Wisconsin,WI,"22,617"
Altoona city,Iowa,IA,"22,598"
Oxford city,Ohio,OH,"22,585"
Middleton city,Wisconsin,WI,"22,566"
Laguna Beach city,California,CA,"22,564"
North Platte city,Nebraska,NE,"22,549"
Big Spring city,Texas,TX,"22,541"
Seymour city,Indiana,IN,"22,524"
Carlisle borough,Pennsylvania,PA,"22,517"
Hastings city,Minnesota,MN,"22,502"
Sanford city,Maine,ME,"22,497"
Clemmons village,North Carolina,NC,"22,471"
La Porte city,Indiana,IN,"22,444"
Evans city,Colorado,CO,"22,394"
New Brighton city,Minnesota,MN,"22,374"
Biddeford city,Maine,ME,"22,370"
Columbia Heights city,Minnesota,MN,"22,358"
Snellville city,Georgia,GA,"22,336"
Ruston city,Louisiana,LA,"22,330"
Sedalia city,Missouri,MO,"22,310"
Zephyrhills city,Florida,FL,"22,304"
Bryant city,Arkansas,AR,"22,271"
Calabasas city,California,CA,"22,256"
Carbondale city,Illinois,IL,"22,223"
Helena city,Alabama,AL,"22,200"
Birmingham city,Michigan,MI,"22,198"
Harrison town,New Jersey,NJ,"22,182"
Klamath Falls city,Oregon,OR,"22,174"
Stephenville city,Texas,TX,"22,147"
Bonney Lake city,Washington,WA,"22,145"
Imperial city,California,CA,"22,102"
Oxford city,Alabama,AL,"22,088"
Bartow city,Florida,FL,"22,084"
Crystal city,Minnesota,MN,"22,082"
Junction City city,Kansas,KS,"22,053"
Clarksville town,Indiana,IN,"22,041"
East Peoria city,Illinois,IL,"22,024"
Villa Park village,Illinois,IL,"22,020"
Darien city,Illinois,IL,"22,015"
Tavares city,Florida,FL,"22,007"
Lebanon city,Ohio,OH,"21,995"
Hanahan city,South Carolina,SC,"21,983"
East Ridge city,Tennessee,TN,"21,970"
Howard village,Wisconsin,WI,"21,961"
Arlington city,Washington,WA,"21,959"
Montgomery village,Illinois,IL,"21,957"
Lynn Haven city,Florida,FL,"21,954"
Dickinson city,Texas,TX,"21,941"
West St. Paul city,Minnesota,MN,"21,920"
Lindenwold borough,New Jersey,NJ,"21,919"
North Liberty city,Iowa,IA,"21,904"
Willmar city,Minnesota,MN,"21,892"
Yucca Valley town,California,CA,"21,858"
Marquette city,Michigan,MI,"21,845"
Knightdale town,North Carolina,NC,"21,829"
Blue Island city,Illinois,IL,"21,805"
Pleasant Prairie village,Wisconsin,WI,"21,802"
Chillicothe city,Ohio,OH,"21,769"
American Canyon city,California,CA,"21,742"
South Burlington city,Vermont,VT,"21,713"
Mountain Brook city,Alabama,AL,"21,701"
Cudahy city,California,CA,"21,694"
St. Michael city,Minnesota,MN,"21,681"
Elmwood Park borough,New Jersey,NJ,"21,680"
Montrose city,Colorado,CO,"21,646"
Tukwila city,Washington,WA,"21,636"
Milwaukie city,Oregon,OR,"21,620"
Covington city,Washington,WA,"21,567"
Alliance city,Ohio,OH,"21,523"
Manor city,Texas,TX,"21,500"
Pascagoula city,Mississippi,MS,"21,476"
Rocky River city,Ohio,OH,"21,468"
Culpeper town,Virginia,VA,"21,464"
Republic city,Missouri,MO,"21,392"
Westbrook city,Maine,ME,"21,386"
Gardner city,Massachusetts,MA,"21,381"
South Euclid city,Ohio,OH,"21,363"
New Castle city,Pennsylvania,PA,"21,332"
Port Hueneme city,California,CA,"21,325"
Sweetwater city,Florida,FL,"21,321"
Northfield city,Minnesota,MN,"21,316"
Mineola village,New York,NY,"21,305"
Mukilteo city,Washington,WA,"21,299"
Del City city,Oklahoma,OK,"21,272"
Golden Valley city,Minnesota,MN,"21,263"
Grayslake village,Illinois,IL,"21,262"
South Lake Tahoe city,California,CA,"21,225"
Hays city,Kansas,KS,"21,213"
Fort Walton Beach city,Florida,FL,"21,188"
Geneva city,Illinois,IL,"21,168"
Frankfort village,Illinois,IL,"21,160"
Highland city,Utah,UT,"21,146"
Anniston city,Alabama,AL,"21,127"
Murphy city,Texas,TX,"21,109"
Mount Pleasant city,Michigan,MI,"21,090"
Carrboro town,North Carolina,NC,"21,079"
Ashland city,Kentucky,KY,"21,066"
Saco city,Maine,ME,"21,064"
Hyattsville city,Maryland,MD,"21,052"
Greenfield city,California,CA,"21,042"
Arnold city,Missouri,MO,"21,036"
Tullahoma city,Tennessee,TN,"21,035"
Germantown village,Wisconsin,WI,"21,032"
Park Forest village,Illinois,IL,"21,016"
Ellensburg city,Washington,WA,"20,996"
East Moline city,Illinois,IL,"20,995"
Mill Creek city,Washington,WA,"20,993"
Angleton city,Texas,TX,"20,979"
Piqua city,Ohio,OH,"20,940"
Ashland city,Oregon,OR,"20,935"
Pleasantville city,New Jersey,NJ,"20,924"
Durant city,Oklahoma,OK,"20,908"
Shelbyville city,Indiana,IN,"20,845"
Elko city,Nevada,NV,"20,822"
Louisville city,Colorado,CO,"20,811"
North Myrtle Beach city,South Carolina,SC,"20,798"
Kingsland city,Georgia,GA,"20,789"
South Holland village,Illinois,IL,"20,775"
New Hope city,Minnesota,MN,"20,745"
Morristown town,New Jersey,NJ,"20,732"
Murrysville municipality,Pennsylvania,PA,"20,729"
Portland city,Texas,TX,"20,725"
Baldwin borough,Pennsylvania,PA,"20,712"
Forest Lake city,Minnesota,MN,"20,700"
Dolton village,Illinois,IL,"20,697"
Alamo city,Texas,TX,"20,694"
Lynbrook village,New York,NY,"20,684"
Westminster city,Maryland,MD,"20,662"
Painesville city,Ohio,OH,"20,660"
Rolla city,Missouri,MO,"20,660"
Auburndale city,Florida,FL,"20,659"
Mebane city,North Carolina,NC,"20,654"
Libertyville village,Illinois,IL,"20,643"
Johnstown town,Colorado,CO,"20,639"
Winder city,Georgia,GA,"20,628"
Claremore city,Oklahoma,OK,"20,602"
South St. Paul city,Minnesota,MN,"20,590"
Sulphur city,Louisiana,LA,"20,572"
Pittsburg city,Kansas,KS,"20,547"
Parma Heights city,Ohio,OH,"20,524"
Palisades Park borough,New Jersey,NJ,"20,520"
Crowley city,Texas,TX,"20,483"
Sherwood city,Oregon,OR,"20,441"
Bethany city,Oklahoma,OK,"20,421"
Fayetteville city,Georgia,GA,"20,419"
Punta Gorda city,Florida,FL,"20,416"
Lockport city,New York,NY,"20,394"
Sidney city,Ohio,OH,"20,392"
Zachary city,Louisiana,LA,"20,370"
Gallup city,New Mexico,NM,"20,339"
Harrisburg town,North Carolina,NC,"20,335"
Sand Springs city,Oklahoma,OK,"20,330"
Brigham City city,Utah,UT,"20,319"
Dixon city,California,CA,"20,296"
Phoenixville borough,Pennsylvania,PA,"20,286"
Universal City city,Texas,TX,"20,267"
Adrian city,Michigan,MI,"20,259"
Miamisburg city,Ohio,OH,"20,253"
Cullman city,Alabama,AL,"20,239"
South Milwaukee city,Wisconsin,WI,"20,233"
Crest Hill city,Illinois,IL,"20,223"
La Marque city,Texas,TX,"20,194"
Monroe city,Michigan,MI,"20,177"
Erlanger city,Kentucky,KY,"20,172"
Naples city,Florida,FL,"20,168"
Golden city,Colorado,CO,"20,151"
Ypsilanti city,Michigan,MI,"20,150"
Holly Springs city,Georgia,GA,"20,133"
Seagoville city,Texas,TX,"20,124"
St. Marys city,Georgia,GA,"20,119"
Port Angeles city,Washington,WA,"20,112"
Conyers city,Georgia,GA,"20,111"
Ammon city,Idaho,ID,"20,095"
Villa Rica city,Georgia,GA,"20,095"
Boone town,North Carolina,NC,"20,080"
Siloam Springs city,Arkansas,AR,"20,075"
El Reno city,Oklahoma,OK,"20,041"
Forest Park city,Ohio,OH,"20,033"
Vicksburg city,Mississippi,MS,"20,032"
Hawthorne borough,New Jersey,NJ,"20,006"
Oconomowoc city,Wisconsin,WI,"20,002"
Warrensburg city,Missouri,MO,"19,998"
Sartell city,Minnesota,MN,"19,979"
Nogales city,Arizona,AZ,"19,965"
Lake Zurich village,Illinois,IL,"19,960"
Panama City Beach city,Florida,FL,"19,955"
Lebanon city,Oregon,OR,"19,950"
Whitehall city,Ohio,OH,"19,940"
Monroe city,Washington,WA,"19,927"
Mokena village,Illinois,IL,"19,915"
Cocoa city,Florida,FL,"19,909"
Los Lunas village,New Mexico,NM,"19,907"
Lexington city,North Carolina,NC,"19,904"
Onalaska city,Wisconsin,WI,"19,898"
Mayfield Heights city,Ohio,OH,"19,886"
Springfield city,Tennessee,TN,"19,842"
Lomita city,California,CA,"19,841"
Richmond Hill city,Georgia,GA,"19,839"
Sheridan city,Wyoming,WY,"19,813"
Durango city,Colorado,CO,"19,811"
Broadview Heights city,Ohio,OH,"19,792"
Mamaroneck village,New York,NY,"19,783"
Harvey city,Illinois,IL,"19,781"
Maitland city,Florida,FL,"19,776"
Plattsburgh city,New York,NY,"19,758"
Glenn Heights city,Texas,TX,"19,752"
Hermiston city,Oregon,OR,"19,746"
Brenham city,Texas,TX,"19,728"
Oregon city,Ohio,OH,"19,726"
Oroville city,California,CA,"19,712"
Minneola city,Florida,FL,"19,675"
Coolidge city,Arizona,AZ,"19,674"
Arvin city,California,CA,"19,661"
Springboro city,Ohio,OH,"19,646"
Lake Forest city,Illinois,IL,"19,642"
Powder Springs city,Georgia,GA,"19,632"
Lackawanna city,New York,NY,"19,629"
La Cañada Flintridge city,California,CA,"19,621"
Calhoun city,Georgia,GA,"19,592"
Palestine city,Texas,TX,"19,583"
Orinda city,California,CA,"19,573"
Stuart city,Florida,FL,"19,566"
Point Pleasant borough,New Jersey,NJ,"19,565"
Maumelle city,Arkansas,AR,"19,541"
Kinston city,North Carolina,NC,"19,519"
Clive city,Iowa,IA,"19,508"
Twinsburg city,Ohio,OH,"19,504"
Madisonville city,Kentucky,KY,"19,502"
Hopkins city,Minnesota,MN,"19,462"
Norwood city,Ohio,OH,"19,455"
Albany city,California,CA,"19,439"
Tinton Falls borough,New Jersey,NJ,"19,435"
Ferndale city,Michigan,MI,"19,431"
Agoura Hills city,California,CA,"19,429"
Plainview city,Texas,TX,"19,429"
Winchester city,Kentucky,KY,"19,413"
Firestone town,Colorado,CO,"19,396"
Seminole city,Florida,FL,"19,395"
Bluffdale city,Utah,UT,"19,393"
Stillwater city,Minnesota,MN,"19,386"
Red Oak city,Texas,TX,"19,365"
Fox Crossing village,Wisconsin,WI,"19,362"
North Aurora village,Illinois,IL,"19,329"
Graham city,North Carolina,NC,"19,311"
Manvel city,Texas,TX,"19,309"
Evergreen Park village,Illinois,IL,"19,301"
Forest Park city,Georgia,GA,"19,301"
Orange city,Texas,TX,"19,275"
Rutherford borough,New Jersey,NJ,"19,214"
Eloy city,Arizona,AZ,"19,199"
Ansonia city,Connecticut,CT,"19,195"
Chowchilla city,California,CA,"19,191"
Liberal city,Kansas,KS,"19,184"
Augusta city,Maine,ME,"19,168"
Farmington city,Missouri,MO,"19,165"
Newburyport city,Massachusetts,MA,"19,163"
Lake St. Louis city,Missouri,MO,"19,160"
Lansdale borough,Pennsylvania,PA,"19,154"
Deerfield village,Illinois,IL,"19,138"
Central Point city,Oregon,OR,"19,128"
Port Orchard city,Washington,WA,"19,122"
South El Monte city,California,CA,"19,121"
Sylvania city,Ohio,OH,"19,102"
Centralia city,Washington,WA,"19,061"
Lakeway city,Texas,TX,"19,056"
Gautier city,Mississippi,MS,"19,055"
Martinsburg city,West Virginia,WV,"19,047"
Heber city,Utah,UT,"19,042"
Youngsville city,Louisiana,LA,"19,038"
Wildwood city,Florida,FL,"19,031"
Elizabeth City city,North Carolina,NC,"19,028"
Pinecrest village,Florida,FL,"18,981"
Marshfield city,Wisconsin,WI,"18,973"
Sycamore city,Illinois,IL,"18,968"
Ocean Springs city,Mississippi,MS,"18,954"
Dover town,New Jersey,NJ,"18,909"
Norcross city,Georgia,GA,"18,902"
West Mifflin borough,Pennsylvania,PA,"18,902"
Brookfield village,Illinois,IL,"18,885"
Lumberton city,North Carolina,NC,"18,882"
Mount Washington city,Kentucky,KY,"18,863"
West Richland city,Washington,WA,"18,820"
Homewood village,Illinois,IL,"18,789"
Prichard city,Alabama,AL,"18,778"
Ottawa city,Illinois,IL,"18,775"
Brownwood city,Texas,TX,"18,772"
Ashland city,Ohio,OH,"18,770"
Arcata city,California,CA,"18,748"
Winthrop Town city,Massachusetts,MA,"18,739"
Mount Holly city,North Carolina,NC,"18,723"
Hermosa Beach city,California,CA,"18,687"
Santa Fe Springs city,California,CA,"18,683"
Wisconsin Rapids city,Wisconsin,WI,"18,675"
Colonial Heights city,Virginia,VA,"18,674"
Pinole city,California,CA,"18,663"
Round Lake village,Illinois,IL,"18,654"
Cumberland city,Maryland,MD,"18,643"
Buford city,Georgia,GA,"18,642"
Bensenville village,Illinois,IL,"18,629"
Clemson city,South Carolina,SC,"18,610"
Dumont borough,New Jersey,NJ,"18,606"
Thomasville city,Georgia,GA,"18,604"
Murray city,Kentucky,KY,"18,567"
Matteson village,Illinois,IL,"18,566"
Altus city,Oklahoma,OK,"18,543"
Hernando city,Mississippi,MS,"18,542"
Creve Coeur city,Missouri,MO,"18,533"
Calera city,Alabama,AL,"18,530"
Cohoes city,New York,NY,"18,530"
Shorewood village,Illinois,IL,"18,522"
Pinehurst village,North Carolina,NC,"18,502"
Pataskala city,Ohio,OH,"18,493"
Alsip village,Illinois,IL,"18,486"
Aberdeen city,Maryland,MD,"18,451"
Menasha city,Wisconsin,WI,"18,433"
West Columbia city,South Carolina,SC,"18,418"
Tallmadge city,Ohio,OH,"18,412"
Santaquin city,Utah,UT,"18,394"
Kaukauna city,Wisconsin,WI,"18,363"
Moncks Corner town,South Carolina,SC,"18,359"
Newton city,Kansas,KS,"18,320"
Weirton city,West Virginia,WV,"18,317"
Gainesville city,Texas,TX,"18,295"
Lenoir city,North Carolina,NC,"18,280"
Mount Dora city,Florida,FL,"18,261"
Arroyo Grande city,California,CA,"18,249"
Niles city,Ohio,OH,"18,238"
Sevierville city,Tennessee,TN,"18,231"
Star city,Idaho,ID,"18,208"
Lemont village,Illinois,IL,"18,203"
Sunland Park city,New Mexico,NM,"18,185"
Amsterdam city,New York,NY,"18,169"
Logansport city,Indiana,IN,"18,168"
Nederland city,Texas,TX,"18,168"
Albert Lea city,Minnesota,MN,"18,159"
Anacortes city,Washington,WA,"18,148"
Brook Park city,Ohio,OH,"18,142"
Bellwood village,Illinois,IL,"18,132"
New Port Richey city,Florida,FL,"18,130"
Manchester city,Missouri,MO,"18,122"
Franklin Park village,Illinois,IL,"18,110"
McAlester city,Oklahoma,OK,"18,108"
Southbridge Town city,Massachusetts,MA,"18,106"
Hope Mills town,North Carolina,NC,"18,102"
White Settlement city,Texas,TX,"18,099"
Bourbonnais village,Illinois,IL,"18,083"
Anoka city,Minnesota,MN,"18,068"
Fairmont city,West Virginia,WV,"18,063"
Shelbyville city,Kentucky,KY,"18,048"
Ferguson city,Missouri,MO,"18,043"
Scarsdale village,New York,NY,"18,036"
Cary village,Illinois,IL,"18,031"
Coronado city,California,CA,"18,031"
Steubenville city,Ohio,OH,"18,029"
Canby city,Oregon,OR,"18,027"
Palos Hills city,Illinois,IL,"18,026"
Rancho Mirage city,California,CA,"18,001"
Berea city,Ohio,OH,"17,998"
Aurora city,Ohio,OH,"17,985"
Trenton city,Michigan,MI,"17,957"
Washougal city,Washington,WA,"17,944"
Frederick town,Colorado,CO,"17,937"
Niceville city,Florida,FL,"17,919"
Dallas city,Oregon,OR,"17,911"
Streetsboro city,Ohio,OH,"17,877"
Taylor city,Texas,TX,"17,872"
Takoma Park city,Maryland,MD,"17,856"
Johnstown city,Pennsylvania,PA,"17,853"
Grovetown city,Georgia,GA,"17,843"
Kirksville city,Missouri,MO,"17,841"
Morganton city,North Carolina,NC,"17,825"
East St. Louis city,Illinois,IL,"17,808"
St. Matthews city,Kentucky,KY,"17,806"
River Falls city,Wisconsin,WI,"17,802"
Jacksonville city,Illinois,IL,"17,801"
Lake Wales city,Florida,FL,"17,798"
Ashtabula city,Ohio,OH,"17,775"
South Ogden city,Utah,UT,"17,749"
Troy city,Alabama,AL,"17,734"
Tiffin city,Ohio,OH,"17,729"
Cudahy city,Wisconsin,WI,"17,704"
North Canton city,Ohio,OH,"17,677"
Greenfield city,Massachusetts,MA,"17,633"
Amesbury city,Massachusetts,MA,"17,617"
Stallings town,North Carolina,NC,"17,617"
Godfrey village,Illinois,IL,"17,610"
Lebanon city,Indiana,IN,"17,608"
Hinsdale village,Illinois,IL,"17,598"
Alice city,Texas,TX,"17,595"
Danville city,Kentucky,KY,"17,562"
Morton village,Illinois,IL,"17,557"
Vero Beach city,Florida,FL,"17,556"
Stafford city,Texas,TX,"17,555"
Mercedes city,Texas,TX,"17,535"
Clayton city,Missouri,MO,"17,512"
Laurel city,Mississippi,MS,"17,508"
Kerman city,California,CA,"17,497"
Portsmouth city,Ohio,OH,"17,489"
Wixom city,Michigan,MI,"17,486"
Bay City city,Texas,TX,"17,471"
Cortland city,New York,NY,"17,459"
Bellaire city,Texas,TX,"17,439"
Ashwaubenon village,Wisconsin,WI,"17,437"
Goodlettsville city,Tennessee,TN,"17,433"
Gulf Shores city,Alabama,AL,"17,431"
Eastlake city,Ohio,OH,"17,423"
Muscle Shoals city,Alabama,AL,"17,409"
Havelock city,North Carolina,NC,"17,407"
Millbrook city,Alabama,AL,"17,392"
Braselton town,Georgia,GA,"17,390"
Tifton city,Georgia,GA,"17,385"
New Castle city,Indiana,IN,"17,382"
Easton town,Maryland,MD,"17,381"
New Philadelphia city,Ohio,OH,"17,378"
Belle Glade city,Florida,FL,"17,363"
Charleston city,Illinois,IL,"17,361"
Albemarle city,North Carolina,NC,"17,344"
Waterville city,Maine,ME,"17,336"
Mount Vernon city,Ohio,OH,"17,329"
Blythe city,California,CA,"17,320"
Tahlequah city,Oklahoma,OK,"17,319"
Laconia city,New Hampshire,NH,"17,310"
Chelsea city,Alabama,AL,"17,293"
Lady Lake town,Florida,FL,"17,288"
Radford city,Virginia,VA,"17,273"
Fairburn city,Georgia,GA,"17,267"
Grimes city,Iowa,IA,"17,266"
Addison town,Texas,TX,"17,257"
Iowa Colony village,Texas,TX,"17,240"
Truckee town,California,CA,"17,240"
New Milford borough,New Jersey,NJ,"17,229"
Long Beach city,Mississippi,MS,"17,217"
Fillmore city,California,CA,"17,216"
Cañon City city,Colorado,CO,"17,193"
Gretna city,Louisiana,LA,"17,185"
Defiance city,Ohio,OH,"17,180"
Norwalk city,Ohio,OH,"17,172"
Lockhart city,Texas,TX,"17,166"
Natchitoches city,Louisiana,LA,"17,165"
Wayne city,Michigan,MI,"17,129"
McKeesport city,Pennsylvania,PA,"17,119"
Grandville city,Michigan,MI,"17,094"
Longwood city,Florida,FL,"17,089"
Laguna Woods city,California,CA,"17,058"
Cahokia Heights city,Illinois,IL,"17,052"
Oswego city,New York,NY,"17,047"
Aberdeen city,Washington,WA,"17,044"
Huntington city,Indiana,IN,"17,033"
Pendleton city,Oregon,OR,"17,026"
Marion city,Illinois,IL,"17,021"
Chickasha city,Oklahoma,OK,"17,014"
Andover city,Kansas,KS,"17,000"
Lake Mary city,Florida,FL,"16,989"
Southern Pines town,North Carolina,NC,"16,987"
Safety Harbor city,Florida,FL,"16,972"
Jasper city,Indiana,IN,"16,967"
Hayden city,Idaho,ID,"16,924"
Massapequa Park village,New York,NY,"16,922"
Fort Thomas city,Kentucky,KY,"16,914"
Mountain Home city,Idaho,ID,"16,912"
Ham Lake city,Minnesota,MN,"16,905"
Sulphur Springs city,Texas,TX,"16,891"
Dickson city,Tennessee,TN,"16,878"
Donna city,Texas,TX,"16,876"
Groves city,Texas,TX,"16,866"
Loganville city,Georgia,GA,"16,862"
Fairview Park city,Ohio,OH,"16,860"
Grain Valley city,Missouri,MO,"16,859"
Wendell town,North Carolina,NC,"16,845"
Verona city,Wisconsin,WI,"16,825"
Hannibal city,Missouri,MO,"16,809"
Red Wing city,Minnesota,MN,"16,788"
Lynden city,Washington,WA,"16,783"
Hugo city,Minnesota,MN,"16,765"
Davenport city,Florida,FL,"16,764"
Payson town,Arizona,AZ,"16,762"
Bellevue village,Wisconsin,WI,"16,749"
Hewitt city,Texas,TX,"16,749"
Buffalo city,Minnesota,MN,"16,736"
Hanover borough,Pennsylvania,PA,"16,728"
Coalinga city,California,CA,"16,722"
Menomonie city,Wisconsin,WI,"16,709"
Ferndale city,Washington,WA,"16,706"
Moraga town,California,CA,"16,698"
North Arlington borough,New Jersey,NJ,"16,694"
Milledgeville city,Georgia,GA,"16,664"
El Dorado city,Arkansas,AR,"16,657"
Clearlake city,California,CA,"16,636"
Manassas Park city,Virginia,VA,"16,611"
Mattoon city,Illinois,IL,"16,602"
Crawfordsville city,Indiana,IN,"16,594"
Ada city,Oklahoma,OK,"16,578"
Chubbuck city,Idaho,ID,"16,577"
Vienna town,Virginia,VA,"16,562"
Humble city,Texas,TX,"16,561"
Centerville city,Utah,UT,"16,560"
Bridgeview village,Illinois,IL,"16,559"
Madison borough,New Jersey,NJ,"16,555"
Marco Island city,Florida,FL,"16,554"
El Segundo city,California,CA,"16,544"
La Vista city,Nebraska,NE,"16,543"
Beckley city,West Virginia,WV,"16,515"
Opa-locka city,Florida,FL,"16,507"
Port Royal town,South Carolina,SC,"16,507"
Vincennes city,Indiana,IN,"16,506"
Pampa city,Texas,TX,"16,487"
Rye city,New York,NY,"16,463"
White House city,Tennessee,TN,"16,463"
Frankfort city,Indiana,IN,"16,459"
Jefferson city,Georgia,GA,"16,459"
Saraland city,Alabama,AL,"16,458"
Canyon city,Texas,TX,"16,457"
Gardendale city,Alabama,AL,"16,444"
Beaver Dam city,Wisconsin,WI,"16,443"
Pewaukee city,Wisconsin,WI,"16,437"
Berea city,Kentucky,KY,"16,436"
Cedar Lake town,Indiana,IN,"16,404"
South River borough,New Jersey,NJ,"16,392"
Gatesville city,Texas,TX,"16,388"
Waunakee village,Wisconsin,WI,"16,363"
Dyer town,Indiana,IN,"16,341"
Sunnyside city,Washington,WA,"16,317"
Bristol city,Virginia,VA,"16,316"
Westchester village,Illinois,IL,"16,313"
Selma city,Alabama,AL,"16,312"
Indianola city,Iowa,IA,"16,297"
Davidson town,North Carolina,NC,"16,276"
Monroe city,Georgia,GA,"16,270"
Ripon city,California,CA,"16,252"
Country Club Hills city,Illinois,IL,"16,238"
Mount Pleasant city,Texas,TX,"16,238"
Dublin city,Georgia,GA,"16,233"
Live Oak city,Texas,TX,"16,218"
Lilburn city,Georgia,GA,"16,210"
Hartselle city,Alabama,AL,"16,201"
New Haven city,Indiana,IN,"16,200"
Griffith town,Indiana,IN,"16,192"
Hueytown city,Alabama,AL,"16,185"
Poplar Bluff city,Missouri,MO,"16,177"
South Houston city,Texas,TX,"16,146"
Highland Village city,Texas,TX,"16,137"
Fairview Heights city,Illinois,IL,"16,115"
Warsaw city,Indiana,IN,"16,111"
Buda city,Texas,TX,"16,090"
Vineyard town,Utah,UT,"16,077"
Whitewater city,Wisconsin,WI,"16,076"
Ukiah city,California,CA,"16,067"
Sikeston city,Missouri,MO,"16,062"
Belmont city,North Carolina,NC,"16,044"
St. Augustine city,Florida,FL,"16,033"
Palmview city,Texas,TX,"16,030"
Williamsburg city,Virginia,VA,"16,030"
Easthampton city,Massachusetts,MA,"16,020"
Hartford city,Wisconsin,WI,"15,984"
Greeneville town,Tennessee,TN,"15,979"
Elkton town,Maryland,MD,"15,977"
Floral Park village,New York,NY,"15,966"
Scottsboro city,Alabama,AL,"15,957"
Monroe city,Ohio,OH,"15,950"
La Grange village,Illinois,IL,"15,943"
Hibbing city,Minnesota,MN,"15,940"
Jackson city,Missouri,MO,"15,929"
Dyersburg city,Tennessee,TN,"15,915"
Bay Village city,Ohio,OH,"15,903"
Grosse Pointe Woods city,Michigan,MI,"15,897"
The Dalles city,Oregon,OR,"15,884"
Westbury village,New York,NY,"15,871"
Weston village,Wisconsin,WI,"15,866"
Washington city,Illinois,IL,"15,857"
Shively city,Kentucky,KY,"15,850"
Hermitage city,Pennsylvania,PA,"15,839"
Douglas city,Arizona,AZ,"15,819"
Fremont city,Ohio,OH,"15,814"
Nolensville town,Tennessee,TN,"15,809"
Coos Bay city,Oregon,OR,"15,801"
Jamestown city,North Dakota,ND,"15,789"
Traverse City city,Michigan,MI,"15,782"
Troutdale city,Oregon,OR,"15,749"
Americus city,Georgia,GA,"15,742"
Bemidji city,Minnesota,MN,"15,733"
Newton city,Iowa,IA,"15,709"
Carthage city,Missouri,MO,"15,703"
Mineral Wells city,Texas,TX,"15,688"
Grantsville city,Utah,UT,"15,682"
Oneonta city,New York,NY,"15,679"
Middleburg Heights city,Ohio,OH,"15,672"
Yankton city,South Dakota,SD,"15,670"
Artesia city,California,CA,"15,662"
Hendersonville city,North Carolina,NC,"15,656"
West Park city,Florida,FL,"15,641"
Front Royal town,Virginia,VA,"15,628"
Mitchell city,South Dakota,SD,"15,621"
Fairview borough,New Jersey,NJ,"15,606"
Center Point city,Alabama,AL,"15,603"
Uvalde city,Texas,TX,"15,589"
Thibodaux city,Louisiana,LA,"15,569"
Prospect Heights city,Illinois,IL,"15,566"
Rutland city,Vermont,VT,"15,565"
Arlington town,Tennessee,TN,"15,550"
Overland city,Missouri,MO,"15,547"
Lebanon city,Missouri,MO,"15,538"
Rio Grande City city,Texas,TX,"15,526"
Washington city,Missouri,MO,"15,521"
Brunswick city,Georgia,GA,"15,520"
Monticello city,Minnesota,MN,"15,482"
Mount Clemens city,Michigan,MI,"15,480"
Asbury Park city,New Jersey,NJ,"15,473"
Metuchen borough,New Jersey,NJ,"15,470"
Tenafly borough,New Jersey,NJ,"15,455"
Eden city,North Carolina,NC,"15,399"
Norwalk city,Iowa,IA,"15,396"
Phillipsburg town,New Jersey,NJ,"15,393"
Lebanon city,New Hampshire,NH,"15,389"
Glasgow city,Kentucky,KY,"15,388"
Highland Park borough,New Jersey,NJ,"15,386"
Cornelius city,Oregon,OR,"15,369"
Ridgefield city,Washington,WA,"15,359"
Berkley city,Michigan,MI,"15,313"
Broussard city,Louisiana,LA,"15,312"
Covington city,Georgia,GA,"15,302"
Bradley village,Illinois,IL,"15,298"
Beacon city,New York,NY,"15,292"
Greenwood Village city,Colorado,CO,"15,288"
Deming city,New Mexico,NM,"15,272"
Clarksburg city,West Virginia,WV,"15,262"
Orange City city,Florida,FL,"15,257"
Warrenville city,Illinois,IL,"15,247"
Havre de Grace city,Maryland,MD,"15,222"
Opelousas city,Louisiana,LA,"15,176"
Hidalgo city,Texas,TX,"15,164"
Castle Pines city,Colorado,CO,"15,162"
Dixon city,Illinois,IL,"15,156"
Tomball city,Texas,TX,"15,152"
West University Place city,Texas,TX,"15,149"
Laurinburg city,North Carolina,NC,"15,130"
Edgewater borough,New Jersey,NJ,"15,116"
Key Biscayne village,Florida,FL,"15,111"
Antioch village,Illinois,IL,"15,108"
La Palma city,California,CA,"15,092"
Franklin Park borough,Pennsylvania,PA,"15,079"
Chippewa Falls city,Wisconsin,WI,"15,075"
Batavia city,New York,NY,"15,071"
Hazel Park city,Michigan,MI,"15,064"
Dallas city,Georgia,GA,"15,062"
Athens city,Tennessee,TN,"15,050"
Azle city,Texas,TX,"15,046"
Hammonton town,New Jersey,NJ,"15,036"
Falls Church city,Virginia,VA,"15,034"
Hudson city,Wisconsin,WI,"15,031"
Boulder City city,Nevada,NV,"15,029"
Smithfield city,Utah,UT,"15,018"
Fort Payne city,Alabama,AL,"15,017"
Vandalia city,Ohio,OH,"15,013"
Ramsey borough,New Jersey,NJ,"15,003"
Tonawanda city,New York,NY,"14,984"
Troy city,Missouri,MO,"14,963"
Harper Woods city,Michigan,MI,"14,936"
Kenmore village,New York,NY,"14,936"
Alexandria city,Minnesota,MN,"14,914"
Depew village,New York,NY,"14,910"
